case,,size,tst_insert,tst_search,tst_ram,bst_insert,bst_search,bst_ram
best,0,5000,0.01951432377099991,0.012279008701443671,0.2162688000000003,0.0065690487623214725,0.005259480327367783,0.0
best,1,10000,0.036347434297204016,0.0258206594735384,0.2293759999999992,0.017480719462037088,0.011588165909051895,0.0
best,2,15000,0.050988197326660156,0.03966844491660595,0.30883839999999907,0.026662364602088928,0.018057024851441384,0.0
best,3,20000,0.0677591796964407,0.054768013581633565,0.21544959999999946,0.036039256304502484,0.02523721046745777,0.021299199999998564
best,4,25000,0.09327651858329773,0.06887180618941784,0.17039359999999987,0.04527441188693047,0.03251998536288738,0.0
best,5,30000,0.10529618710279465,0.08422194197773933,0.05324800000000209,0.05940115675330162,0.03932209499180317,0.0
best,6,35000,0.12394286133348942,0.09741242565214633,0.35225599999999985,0.0627916093915701,0.04634213075041771,0.10731520000000216
best,7,40000,0.14304906502366066,0.11507991999387741,0.23429120000000125,0.084144277125597,0.05506589077413082,0.0
best,8,45000,0.15960663370788097,0.12786037474870682,0.45547520000000075,0.08589597567915916,0.06142564080655575,0.0
best,9,50000,0.17929055728018284,0.1426976528018713,0.14663679999999885,0.10078859478235244,0.06918601430952549,0.10239999999999724
worst,0,5000,3.7409167222678663,3.709989365935326,0.011468800000000102,2.8536391366273164,2.3790225949138404,0.0
worst,1,10000,15.285219950601459,15.189526214450598,0.0,18.591369396820664,16.05833110995591,0.0
worst,2,15000,35.57333331182599,34.88294810354709,0.0,63.73293557167053,55.739392016083,0.0008191999999894506
worst,3,20000,63.022059408947825,62.478844286501406,0.0,147.65161809436978,127.62237492837012,0.0
worst,4,25000,103.99917671233416,103.66399105750024,0.0,297.1019235711545,251.7037650194019,0.0
worst,5,30000,150.15890934355556,149.567166435346,0.0,519.423436897248,432.45046816840767,0.0
worst,6,35000,202.14231472685933,200.72138029374182,0.0,797.7099055625498,652.5005617000163,0.0
worst,7,40000,247.44318555407227,246.04930255003273,0.0,1171.7695071142166,954.731475571543,0.0
worst,8,45000,312.45215573348105,310.7520810723305,0.2588672000000315,1646.6442014575005,1334.58204992339,0.15400959999997213
worst,9,50000,386.3222409412265,384.4433154813945,0.017203199999948994,2609.2803204257043,2018.903290804848,0.1875967999999375
average,0,5000,0.049089254811406136,0.02175866924226284,0.0,0.010672775655984878,0.008697966113686562,0.0
average,1,10000,0.19173139706254005,0.06675314083695412,2.6279935999999906,0.024233565852046012,0.020359690859913827,0.0
average,2,15000,0.06367131024599075,0.04578292593359947,0.0,0.04225817434489727,0.03129219226539135,0.0
average,3,20000,0.09247114062309265,0.06459477953612805,0.10813439999999445,0.05680743716657162,0.041783721372485164,0.0
average,4,25000,0.35308163426816463,0.14200740791857241,5.14867200000001,0.07710497193038464,0.059369524195790294,0.10485760000000255
average,5,30000,0.6014234501868486,0.2084317285567522,10.087628799999994,0.09856526143848895,0.07218344211578369,0.0
average,6,35000,0.4109421852976084,0.1782060369849205,5.485363199999995,0.10761185102164746,0.08248671442270279,0.16138240000000223
average,7,40000,0.3907012168318033,0.19127929620444775,4.367155200000002,0.12957206442952157,0.09767521061003208,0.16138239999999088
average,8,45000,0.5466232724487782,0.2413691643625498,6.9369856000000025,0.1582201946526766,0.11583283059298992,0.05079040000000532
average,9,50000,0.6066605623811483,0.2632372178137302,7.70539520000001,0.16792005971074103,0.12893633507192134,0.16138239999999088
